Statistical profiling result from log-v8-nodegub.log, (1557 ticks, 26 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.1%    0.1%  t _Builtins_CEntry_Return1_DontSaveFPRegs_ArgvOnStack_BuiltinExit
      1    0.1%    0.1%  t _Builtins_ArrayReduce
      1    0.1%    0.1%  t _Builtins_ArrayPrototypeJoin
      1    0.1%    0.1%  t _Builtins_ArrayPrototypeConcat
      1    0.1%    0.1%  T icu_71::ResourceSink::~ResourceSink()
      1    0.1%    0.1%  T _ucase_toFullFolding_71
      1    0.1%    0.1%  T _task_set_special_port
      1    0.1%    0.1%  T _task_self_trap
      1    0.1%    0.1%  T _os_unfair_recursive_lock_lock_with_options

 [Summary]:
   ticks  total  nonlib   name
     81    5.2%    5.5%  JavaScript
   1357   87.2%   92.7%  C++
     66    4.2%    4.5%  GC
     93    6.0%          Shared libraries
     26    1.7%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
    682   65.5%   43.8%  T v8impl::Reference::New(napi_env__*, v8::Local<v8::Value>, unsigned int, bool, void (*)(napi_env__*, void*, void*), void*, void*)
     42    4.0%    2.7%  t _Builtins_LoadIC
     33    3.2%    2.1%  T __kernelrpc_mach_port_get_refs
     29    2.8%    1.9%  t _Builtins_CallApiCallback
     19    1.8%    1.2%  t _Builtins_KeyedLoadIC_Megamorphic
     16    1.5%    1.0%  t _Builtins_StoreIC
     10    1.0%    0.6%  t _Builtins_LoadICBaseline
     10    1.0%    0.6%  T ___pthread_init
      8    0.8%    0.5%  t _Builtins_KeyedLoadIC
      8    0.8%    0.5%  t _Builtins_CallFunction_ReceiverIsNotNullOrUndefined
      8    0.8%    0.5%  T _kdebug_typefilter
      7    0.7%    0.4%  t _Builtins_KeyedStoreIC_Megamorphic
      7    0.7%    0.4%  t _Builtins_KeyedStoreIC
      6    0.6%    0.4%  t __pthread_bsdthread_init
      6    0.6%    0.4%  t _Builtins_ToBooleanForBaselineJump
      5    0.5%    0.3%  t _Builtins_ObjectAssign
      5    0.5%    0.3%  t _Builtins_LoadIC_Megamorphic
      5    0.5%    0.3%  t _Builtins_Call_ReceiverIsNullOrUndefined_Baseline_Compact
      5    0.5%    0.3%  t _Builtins_Call_ReceiverIsNotNullOrUndefined_Baseline_Compact
      4    0.4%    0.3%  t std::__1::basic_ostream<char, std::__1::char_traits<char> >& std::__1::__put_character_sequence<char, std::__1::char_traits<char> >(std::__1::basic_ostream<char, std::__1::char_traits<char> >&, char const*, unsigned long)
      4    0.4%    0.3%  t _Builtins_StringSubstring
      4    0.4%    0.3%  t _Builtins_StrictEqual_Baseline
      4    0.4%    0.3%  t _Builtins_BaselineOutOfLinePrologue
      4    0.4%    0.3%  t _Builtins_BaselineLeaveFrame
      4    0.4%    0.3%  T _host_request_notification
      3    0.3%    0.2%  t _Builtins_PromiseConstructor
      3    0.3%    0.2%  t _Builtins_CallFunction_ReceiverIsNullOrUndefined
      3    0.3%    0.2%  t _Builtins_CallFunction_ReceiverIsAny
      3    0.3%    0.2%  T _mach_msg_server_once
      2    0.2%    0.1%  t __pthread_strtoul
      2    0.2%    0.1%  t __os_nospin_lock_lock_slow
      2    0.2%    0.1%  t __enlarge
      2    0.2%    0.1%  t _Builtins_WeakMapPrototypeSet
      2    0.2%    0.1%  t _Builtins_TypedArrayPrototypeSet
      2    0.2%    0.1%  t _Builtins_TypedArrayPrototypeLength
      2    0.2%    0.1%  t _Builtins_StringEqual
      2    0.2%    0.1%  t _Builtins_StoreIC_NoFeedback
      2    0.2%    0.1%  t _Builtins_SetPrototypeHas
      2    0.2%    0.1%  t _Builtins_Modulus_Baseline
      2    0.2%    0.1%  t _Builtins_MapPrototypeGet
      2    0.2%    0.1%  t _Builtins_LoadIC_StringLength
      2    0.2%    0.1%  t _Builtins_LessThan_Baseline
      2    0.2%    0.1%  t _Builtins_KeyedLoadIC_PolymorphicName
      2    0.2%    0.1%  t _Builtins_InstanceOf_Baseline
      2    0.2%    0.1%  t _Builtins_GetProperty
      2    0.2%    0.1%  t _Builtins_FastNewStrictArguments
      2    0.2%    0.1%  t _Builtins_FastNewObject
      2    0.2%    0.1%  t _Builtins_FastNewFunctionContextFunction
      2    0.2%    0.1%  t _Builtins_Call_ReceiverIsNullOrUndefined
      2    0.2%    0.1%  t _Builtins_ArrayMap
      2    0.2%    0.1%  t _Builtins_ArrayForEach
      1    0.1%    0.1%  t _uv__hrtime
      1    0.1%    0.1%  t _ustrcase_internalToLower_71
      1    0.1%    0.1%  t _construct_stub_create_deopt_addr
      1    0.1%    0.1%  t __pthread_mutex_global_init
      1    0.1%    0.1%  t __os_nospin_lock_unlock_slow
      1    0.1%    0.1%  t ___pfz_setup
      1    0.1%    0.1%  t _Builtins_TypedArrayConstructor
      1    0.1%    0.1%  t _Builtins_ToString
      1    0.1%    0.1%  t _Builtins_ThrowReferenceErrorIfHoleHandler
      1    0.1%    0.1%  t _Builtins_TestEqualStrictHandler
      1    0.1%    0.1%  t _Builtins_StringPrototypeCharCodeAt
      1    0.1%    0.1%  t _Builtins_StringAdd_CheckNone
      1    0.1%    0.1%  t _Builtins_StoreFastElementIC_Standard
      1    0.1%    0.1%  t _Builtins_SetPrototypeAdd
      1    0.1%    0.1%  t _Builtins_RegExpPrototypeExec
      1    0.1%    0.1%  t _Builtins_ObjectSetPrototypeOf
      1    0.1%    0.1%  t _Builtins_ObjectPrototypeToString
      1    0.1%    0.1%  t _Builtins_ObjectPrototypeHasOwnProperty
      1    0.1%    0.1%  t _Builtins_NumberIsFinite
      1    0.1%    0.1%  t _Builtins_MultiplySmi_Baseline
      1    0.1%    0.1%  t _Builtins_LoadIC_NoFeedback
      1    0.1%    0.1%  t _Builtins_LoadICTrampoline_Megamorphic
      1    0.1%    0.1%  t _Builtins_LessThanOrEqual_Baseline
      1    0.1%    0.1%  t _Builtins_KeyedLoadICBaseline
      1    0.1%    0.1%  t _Builtins_JumpIfFalseHandler
      1    0.1%    0.1%  t _Builtins_JSBuiltinsConstructStub
      1    0.1%    0.1%  t _Builtins_InterpreterEntryTrampoline
      1    0.1%    0.1%  t _Builtins_GreaterThan_Baseline
      1    0.1%    0.1%  t _Builtins_GetPropertyWithReceiver
      1    0.1%    0.1%  t _Builtins_GetNamedPropertyHandler
      1    0.1%    0.1%  t _Builtins_GetIteratorBaseline
      1    0.1%    0.1%  t _Builtins_FunctionPrototypeHasInstance
      1    0.1%    0.1%  t _Builtins_FindOrderedHashMapEntry
      1    0.1%    0.1%  t _Builtins_DefineNamedOwnIC
      1    0.1%    0.1%  t _Builtins_CreateShallowArrayLiteral
      1    0.1%    0.1%  t _Builtins_CreateFunctionContextHandler
      1    0.1%    0.1%  t _Builtins_CreateDataProperty
      1    0.1%    0.1%  t _Builtins_CopyDataProperties
      1    0.1%    0.1%  t _Builtins_Construct_Baseline
      1    0.1%    0.1%  t _Builtins_CallPropertyHandler
      1    0.1%    0.1%  t _Builtins_CallIteratorWithFeedback
      1    0.1%    0.1%  t _Builtins_CallBoundFunction
      1    0.1%    0.1%  t _Builtins_CEntry_Return1_DontSaveFPRegs_ArgvOnStack_NoBuiltinExit
      1    0.1%    0.1%  t _Builtins_CEntry_Return1_DontSaveFPRegs_ArgvOnStack_BuiltinExit
      1    0.1%    0.1%  t _Builtins_ArrayReduce
      1    0.1%    0.1%  t _Builtins_ArrayPrototypeJoin
      1    0.1%    0.1%  t _Builtins_ArrayPrototypeFind
      1    0.1%    0.1%  t _Builtins_ArrayPrototypeConcat
      1    0.1%    0.1%  T icu_71::ResourceSink::~ResourceSink()
      1    0.1%    0.1%  T _ucase_toFullFolding_71
      1    0.1%    0.1%  T _os_unfair_recursive_lock_lock_with_options

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
    741   47.6%  T v8impl::Reference::New(napi_env__*, v8::Local<v8::Value>, unsigned int, bool, void (*)(napi_env__*, void*, void*), void*, void*)
    228   30.8%    Function: ^compileFunction node:vm:316:25
    224   98.2%      Function: ^wrapSafe node:internal/modules/cjs/loader:1073:18
    224  100.0%        Function: ^Module._compile node:internal/modules/cjs/loader:1113:37
    210   93.8%          Function: ^Module._extensions..js node:internal/modules/cjs/loader:1168:37
    210  100.0%            Function: ^Module.load node:internal/modules/cjs/loader:1025:33
     14    6.3%          LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1168:37
     14  100.0%            Function: ^Module.load node:internal/modules/cjs/loader:1025:33
      4    1.8%      LazyCompile: ~wrapSafe node:internal/modules/cjs/loader:1073:18
      4  100.0%        LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1113:37
      4  100.0%          LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1168:37
      3   75.0%            Function: ^Module.load node:internal/modules/cjs/loader:1025:33
      1   25.0%            LazyCompile: ~Module.load node:internal/modules/cjs/loader:1025:33
     90   12.1%    Function: ^readSync node:fs:705:18
     90  100.0%      Function: ^tryReadSync node:fs:444:21
     90  100.0%        Function: ^readFileSync node:fs:465:22
     85   94.4%          Function: ^Module._extensions..js node:internal/modules/cjs/loader:1168:37
     85  100.0%            Function: ^Module.load node:internal/modules/cjs/loader:1025:33
      5    5.6%          LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1168:37
      5  100.0%            Function: ^Module.load node:internal/modules/cjs/loader:1025:33
     30    4.0%    Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
     21   70.0%      Function: ^nativeModuleRequire node:internal/bootstrap/loaders:353:29
      5   23.8%        Function: ~<anonymous> node:http:1:1
      5  100.0%          Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
      5  100.0%            Function: ^compileForPublicLoader node:internal/bootstrap/loaders:263:25
      3   14.3%        Function: ~<anonymous> node:internal/cluster/primary:1:1
      3  100.0%          Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
      3  100.0%            Function: ^nativeModuleRequire node:internal/bootstrap/loaders:353:29
      2    9.5%        Function: ~<anonymous> node:tls:1:1
      2  100.0%          Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
      2  100.0%            Function: ^compileForPublicLoader node:internal/bootstrap/loaders:263:25
      2    9.5%        Function: ~<anonymous> node:internal/child_process:1:1
      2  100.0%          Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
      2  100.0%            Function: ^nativeModuleRequire node:internal/bootstrap/loaders:353:29
      2    9.5%        Function: ~<anonymous> node:_http_client:1:1
      2  100.0%          Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
      2  100.0%            Function: ^nativeModuleRequire node:internal/bootstrap/loaders:353:29
      1    4.8%        LazyCompile: ~lazyWebCrypto node:crypto:125:23
      1  100.0%          LazyCompile: ~get node:crypto:369:8
      1  100.0%            t _Builtins_ReflectGet
      1    4.8%        LazyCompile: ~lazyLoadStreams node:fs:2907:25
      1  100.0%          LazyCompile: ~get ReadStream node:fs:3050:17
      1  100.0%            t _Builtins_ReflectGet
      1    4.8%        LazyCompile: ~createWritableStdioStream node:internal/bootstrap/switches/is_main_thread:45:35
      1  100.0%          LazyCompile: ~getStderr node:internal/bootstrap/switches/is_main_thread:168:19
      1  100.0%            LazyCompile: ~refresh node:internal/util/colors:10:10
      1    4.8%        Function: ~<anonymous> node:child_process:1:1
